"Energy [MeV]","Nb protons [/MeV]"
1.706999999999999906e-01,1.779588905266846996e+06
1.706999999999999906e-01,1.804713098645649385e+06
1.706999999999999906e-01,1.830168964544303715e+06
1.706999999999999906e-01,1.855956502962810453e+06
1.706999999999999906e-01,1.882158632031132234e+06
1.706999999999999906e-01,1.908775351749269292e+06
1.706999999999999906e-01,1.935723743987258524e+06
1.706999999999999906e-01,1.963003808745099930e+06
1.706999999999999906e-01,1.990698464152756613e+06
1.706999999999999906e-01,2.018807710210228572e+06
1.706999999999999906e-01,2.047331546917515574e+06
1.706999999999999906e-01,2.076269974274617853e+06
1.706999999999999906e-01,2.105540074151572306e+06
1.716999999999999915e-01,2.140942923617934808e+06
1.716999999999999915e-01,2.171121639106957708e+06
1.716999999999999915e-01,2.201799176339600701e+06
1.716999999999999915e-01,2.232892398358593695e+06
1.716999999999999915e-01,2.264401305163936689e+06
1.716999999999999915e-01,2.296325896755630150e+06
1.716999999999999915e-01,2.328749310090943705e+06
1.716999999999999915e-01,2.361671545169877354e+06
1.716999999999999915e-01,2.395009465035161469e+06
1.716999999999999915e-01,2.428763069686795585e+06
1.716999999999999915e-01,2.463098633039319888e+06
1.716999999999999915e-01,2.497849881178194191e+06
1.716999999999999915e-01,2.533099951060689054e+06
1.716999999999999915e-01,2.568848842686804011e+06
1.716999999999999915e-01,2.605096556056539062e+06
1.716999999999999915e-01,2.641926228127164301e+06
1.716999999999999915e-01,2.679171584984140005e+06
1.728000000000000091e-01,2.724870455860257149e+06
1.728000000000000091e-01,2.763391007575548720e+06
1.728000000000000091e-01,2.802328448378667701e+06
1.728000000000000091e-01,2.841932911722311750e+06
1.728000000000000091e-01,2.882037641971348785e+06
1.728000000000000091e-01,2.922726016943344846e+06
1.728000000000000091e-01,2.963998036638299935e+06
1.728000000000000091e-01,3.005853701056214049e+06
1.728000000000000091e-01,3.048293010197087191e+06
1.728000000000000091e-01,3.091315964060918894e+06
1.728000000000000091e-01,3.134922562647710089e+06
1.728000000000000091e-01,3.179196183775025420e+06
1.728000000000000091e-01,3.224053449625299778e+06
1.728000000000000091e-01,3.269577738016098738e+06
1.728000000000000091e-01,3.315769048947422300e+06
1.728000000000000091e-01,3.362544004601704422e+06
1.738999999999999990e-01,3.419843095759358257e+06
1.738999999999999990e-01,3.468174782133970875e+06
1.738999999999999990e-01,3.517091800350490957e+06
1.738999999999999990e-01,3.566761388078033924e+06
1.738999999999999990e-01,3.617099926482042298e+06
1.738999999999999990e-01,3.668191034397074021e+06
1.738999999999999990e-01,3.719951092988571152e+06
1.738999999999999990e-01,3.772463721091091167e+06
1.738999999999999990e-01,3.825728918704634998e+06
1.738999999999999990e-01,3.879746685829202179e+06
1.738999999999999990e-01,3.934517022464792710e+06
1.738999999999999990e-01,3.990039928611406591e+06
1.738999999999999990e-01,4.046315404269043822e+06
1.738999999999999990e-01,4.103510687106820755e+06
1.738999999999999990e-01,4.161374920621063095e+06
1.738999999999999990e-01,4.220158961315444671e+06
1.738999999999999990e-01,4.279695571520850062e+06
1.738999999999999990e-01,4.340151988906394690e+06
1.738999999999999990e-01,4.401360975802963600e+06
1.738999999999999990e-01,4.463573388714229688e+06
1.738999999999999990e-01,4.526538371136519127e+06
1.738999999999999990e-01,4.590423160738947801e+06
1.738999999999999990e-01,4.655227757521516643e+06
1.738999999999999990e-01,4.720952161484225653e+06
1.738999999999999990e-01,4.787596372627073899e+06
1.738999999999999990e-01,4.855160390950061381e+06
1.738999999999999990e-01,4.923727835287747905e+06
1.738999999999999990e-01,4.993215086805572733e+06
1.738999999999999990e-01,5.063705764338096604e+06
1.738999999999999990e-01,5.135199867885317653e+06
1.738999999999999990e-01,5.207697397447236814e+06
1.738999999999999990e-01,5.281198353023853153e+06
1.738999999999999990e-01,5.355786353449726477e+06
1.738999999999999990e-01,5.431377779890296981e+06
1.738999999999999990e-01,5.508056251180123538e+06
1.738999999999999990e-01,5.585821767319206148e+06
1.738999999999999990e-01,5.664674328307544813e+06
1.738999999999999990e-01,5.744613934145139530e+06
1.738999999999999990e-01,5.825724203666548245e+06
1.738999999999999990e-01,5.907921518037213013e+06
1.738999999999999990e-01,5.991373114926250651e+06
1.738999999999999990e-01,6.075911756664543413e+06
1.738999999999999990e-01,6.161704680921209045e+06
1.738000000000000100e-01,6.247030448456834070e+06
1.738000000000000100e-01,6.335225196384277195e+06
1.738000000000000100e-01,6.424673898073721677e+06
1.738000000000000100e-01,6.515376553525168449e+06
1.738000000000000100e-01,6.607333162738615647e+06
1.738000000000000100e-01,6.700627322631532326e+06
1.738000000000000100e-01,6.795175436286449432e+06
1.738000000000000100e-01,6.891144697538302280e+06
1.738000000000000100e-01,6.988367912552156486e+06
1.738000000000000100e-01,7.087012275162945502e+06
1.738000000000000100e-01,7.187077785370670259e+06
1.738000000000000100e-01,7.288564443175329827e+06
1.738000000000000100e-01,7.391472248576924205e+06
1.738000000000000100e-01,7.495801201575454324e+06
1.738000000000000100e-01,7.601634899088385515e+06
1.738000000000000100e-01,7.708889744198252447e+06
1.738000000000000100e-01,7.817732930739987642e+06
1.738000000000000100e-01,7.928080861796124838e+06
1.738000000000000100e-01,8.040017134284130298e+06
1.738000000000000100e-01,8.153541748204004951e+06
1.738000000000000100e-01,8.268571106638281606e+06
1.738000000000000100e-01,8.385606791091760620e+06
1.738000000000000100e-01,8.503478444719906896e+06
1.738000000000000100e-01,8.623858005872055888e+06
1.738000000000000100e-01,8.745073536198874936e+06
1.738000000000000100e-01,8.868796974049694836e+06
1.738000000000000100e-01,8.994192350249851122e+06
1.738000000000000100e-01,9.121259664799341932e+06
1.738000000000000100e-01,9.249998917698169127e+06
1.738000000000000100e-01,9.380410108946330845e+06
1.738000000000000100e-01,9.512493238543828949e+06
1.738000000000000100e-01,9.647084275665329769e+06
1.738000000000000100e-01,9.783347251136165112e+06
1.738000000000000100e-01,9.921282164956336841e+06
1.738000000000000100e-01,1.006172498630051129e+07
1.738000000000000100e-01,1.020383974599402212e+07
1.748999999999999999e-01,1.037747708088936470e+07
1.748999999999999999e-01,1.052419371436453424e+07
1.748999999999999999e-01,1.067258710936513357e+07
1.748999999999999999e-01,1.082349564665387943e+07
1.748999999999999999e-01,1.097608094546805322e+07
1.748999999999999999e-01,1.113118138657037541e+07
1.748999999999999999e-01,1.128795858919812739e+07
1.748999999999999999e-01,1.144725093411402404e+07
1.748999999999999999e-01,1.160905842131806724e+07
1.748999999999999999e-01,1.177254267004754208e+07
1.748999999999999999e-01,1.193938044182787649e+07
1.748999999999999999e-01,1.210789497513364255e+07
1.748999999999999999e-01,1.227808626996483654e+07
1.748999999999999999e-01,1.245163108784689382e+07
1.748999999999999999e-01,1.262769104801709764e+07
1.748999999999999999e-01,1.280542776971272938e+07
1.748999999999999999e-01,1.298651801445922442e+07
1.748999999999999999e-01,1.317012340149386413e+07
1.748999999999999999e-01,1.335624393081664853e+07
1.748999999999999999e-01,1.354404122166486457e+07
1.748999999999999999e-01,1.373519203556394204e+07
