"Energy [MeV]","Nb protons [/MeV/sr]"
0.1749,4.3099e8
0.1749,4.3708e8
0.1749,4.4325e8
0.1749,4.495e8
0.1749,4.5585e8
0.1749,4.6228e8
0.1749,4.6881e8
0.1749,4.7543e8
0.1749,4.8214e8
0.1749,4.8895e8
0.1749,4.9585e8
0.1749,5.0285e8
0.1749,5.0995e8
0.1749,5.1715e8
0.1749,5.2445e8
0.1749,5.3185e8
0.1749,5.3936e8
0.1749,5.4697e8
0.1749,5.5469e8
0.1749,5.6252e8
0.1749,5.7046e8
0.1749,5.7852e8
0.1749,5.8668e8
0.1749,5.9497e8
0.1749,6.0336e8
0.1749,6.1188e8
0.1749,6.2052e8
0.1749,6.2928e8
0.1749,6.3816e8
0.1749,6.4717e8
0.1749,6.5631e8
0.1749,6.6557e8
0.1749,6.7497e8
0.1749,6.845e8
0.1749,6.9416e8
0.1749,7.0396e8
0.1749,7.1389e8
0.1749,7.2397e8
0.1749,7.3419e8
0.1749,7.4456e8
0.1749,7.5507e8
0.1749,7.6573e8
0.1749,7.7654e8
0.1749,7.875e8
0.1749,7.9861e8
0.1749,8.0989e8
0.1749,8.2132e8
0.1749,8.3292e8
0.1749,8.4467e8
0.1749,8.566e8
0.1749,8.6869e8
0.1749,8.8095e8
0.1749,8.9339e8
0.1749,9.06e8
0.1749,9.1879e8
0.1749,9.3176e8
0.1749,9.4491e8
0.1749,9.5825e8
0.1749,9.7178e8
0.1749,9.855e8
0.1749,9.9941e8
0.1749,1.0135e9
0.1749,1.0278e9
0.1749,1.0423e9
0.1749,1.057e9
0.1749,1.072e9
0.1749,1.0871e9
0.1749,1.1024e9
0.1749,1.118e9
0.1749,1.1338e9
0.1749,1.1498e9
0.1749,1.166e9
0.1749,1.1825e9
0.1749,1.1992e9
0.1749,1.2161e9
0.1749,1.2333e9
0.1749,1.2507e9
0.1749,1.2683e9
0.1749,1.2863e9
0.1749,1.3044e9
0.1749,1.3228e9
0.1749,1.3415e9
0.1749,1.3604e9
0.1749,1.3796e9
0.1749,1.3991e9
0.1749,1.4189e9
0.1749,1.4389e9
0.1749,1.4592e9
0.1749,1.4798e9
0.1749,1.5007e9
0.1749,1.5219e9
0.1749,1.5434e9
0.1749,1.5652e9
0.1749,1.5872e9
0.1749,1.6097e9
0.1749,1.6324e9
0.1749,1.6554e9
0.1749,1.6788e9
0.1749,1.7025e9
0.1749,1.7265e9
0.1749,1.7509e9
0.1749,1.7756e9
0.1749,1.8007e9
0.1749,1.8261e9
0.1749,1.8519e9
0.1749,1.878e9
0.1749,1.9045e9
0.1749,1.9314e9
0.1749,1.9587e9
0.1749,1.9863e9
0.1749,2.0144e9
0.1749,2.0428e9
0.1749,2.0716e9
0.1749,2.1009e9
0.1749,2.1305e9
0.1749,2.1606e9
0.1749,2.1911e9
0.1749,2.222e9
0.1749,2.2534e9
0.1749,2.2852e9
0.1749,2.3175e9
0.1749,2.3502e9
0.1749,2.3834e9
0.1749,2.417e9
0.1749,2.4511e9
0.1749,2.4857e9
0.1749,2.5208e9
0.1749,2.5564e9
0.1749,2.5925e9
0.1749,2.6291e9
0.1749,2.6662e9
0.1749,2.7039e9
0.1749,2.742e9
0.1749,2.7807e9
0.1749,2.82e9
0.1749,2.8598e9
0.1749,2.9002e9
0.1749,2.9411e9
0.1749,2.9826e9
0.1749,3.0247e9
0.1749,3.0674e9
0.1749,3.1107e9
0.1749,3.1546e9
0.1749,3.1992e9
0.1749,3.2443e9
0.1749,3.2901e9
0.1749,3.3366e9
0.1749,3.3837e9
0.1748,3.4315e9
0.1748,3.4799e9
0.1748,3.529e9
0.1748,3.5788e9
0.1748,3.6294e9
0.1748,3.6806e9
0.1748,3.7325e9
0.1748,3.7852e9
0.1748,3.8387e9
0.1748,3.8929e9
0.1748,3.9478e9
0.1748,4.0035e9
0.1748,4.0601e9
0.1748,4.1174e9
0.1748,4.1755e9
0.1748,4.2344e9
0.1748,4.2942e9
0.1748,4.3548e9
0.1748,4.4163e9
0.1748,4.4787e9
0.1748,4.5419e9
0.1748,4.606e9
0.1748,4.671e9
0.1748,4.737e9
0.1748,4.8038e9
0.1748,4.8716e9
0.1748,4.9404e9
0.1748,5.0102e9
0.1748,5.0809e9
0.1748,5.1526e9
0.1748,5.2253e9
0.1748,5.2991e9
0.1748,5.3739e9
0.1748,5.4498e9
0.1748,5.5267e9
0.1748,5.6047e9
0.1748,5.6838e9
0.1748,5.7641e9
0.1748,5.8454e9
0.1748,5.928e9
0.1748,6.0116e9
0.1748,6.0965e9
0.1748,6.1826e9
0.1748,6.2698e9
0.1748,6.3584e9
0.1748,6.4481e9
0.1748,6.5391e9
0.1748,6.6315e9
0.1748,6.7251e9
0.1748,6.82e9
0.1748,6.9163e9
0.1748,7.0139e9
0.1748,7.1129e9
0.1748,7.2133e9
0.1748,7.3152e9
0.1748,7.4184e9
0.1748,7.5231e9
0.1748,7.6294e9
0.1748,7.7371e9
0.1748,7.8463e9
0.1748,7.957e9
0.1748,8.0694e9
0.1748,8.1833e9
0.1748,8.2988e9
0.1748,8.4159e9
0.1748,8.5347e9
0.1748,8.6552e9
0.1748,8.7774e9
0.1748,8.9013e9
0.1748,9.027e9
0.1748,9.1544e9
0.1748,9.2836e9
0.1748,9.4147e9
0.1748,9.5476e9
0.1759,9.6824e9
0.1759,9.8191e9
0.1759,9.9577e9
0.1759,1.0098e10
0.1759,1.0241e10
0.1759,1.0385e10
0.1759,1.0532e10
0.1759,1.0681e10
0.1759,1.0831e10
0.1759,1.0984e10
0.177,1.1139e10
0.177,1.1297e10
0.1781,1.1456e10
0.1792,1.1618e10
0.1792,1.1782e10
0.1803,1.1948e10
0.1803,1.2117e10
0.1815,1.2288e10
0.1815,1.2461e10
0.1826,1.2637e10
0.1837,1.2816e10
0.1837,1.2997e10
0.1849,1.2997e10
0.186,1.318e10
0.1872,1.3366e10
0.1884,1.3366e10
0.1896,1.3555e10
0.1907,1.3555e10
0.1919,1.3555e10
0.1931,1.3746e10
0.1943,1.3746e10
0.1955,1.394e10
0.1968,1.4137e10
0.198,1.4137e10
0.1992,1.4336e10
0.2005,1.4336e10
0.2017,1.4336e10
0.203,1.4539e10
0.2042,1.4539e10
0.2055,1.4539e10
0.2068,1.4744e10
0.2081,1.4744e10
0.2081,1.4952e10
0.2094,1.4952e10
0.2107,1.4952e10
0.212,1.4952e10
0.2133,1.4952e10
0.2147,1.4952e10
0.216,1.4952e10
0.2174,1.4952e10
0.2187,1.4744e10
0.2201,1.4744e10
0.2215,1.4539e10
0.2227,1.4539e10
0.2242,1.4336e10
0.2256,1.4336e10
0.227,1.4137e10
0.2285,1.4137e10
0.2299,1.394e10
0.2313,1.394e10
0.2328,1.394e10
0.2342,1.394e10
0.2357,1.394e10
0.2371,1.394e10
0.2386,1.394e10
0.2401,1.394e10
0.2416,1.394e10
0.2431,1.394e10
0.2446,1.394e10
0.2462,1.394e10
0.2477,1.394e10
0.2493,1.394e10
0.2508,1.4137e10
0.2524,1.4137e10
0.2539,1.4336e10
0.2555,1.4336e10
0.257,1.4336e10
0.2587,1.4539e10
0.2604,1.4539e10
0.262,1.4539e10
0.2636,1.4539e10
0.2652,1.4539e10
0.2669,1.4539e10
0.2686,1.4539e10
0.2703,1.4744e10
0.2719,1.4744e10
0.2736,1.4744e10
0.2753,1.4744e10
0.2771,1.4744e10
0.2788,1.4744e10
0.2805,1.4744e10
0.2823,1.4744e10
0.2841,1.4744e10
0.2858,1.4744e10
0.2876,1.4539e10
0.2894,1.4539e10
0.2912,1.4539e10
0.293,1.4539e10
0.2949,1.4539e10
0.2967,1.4539e10
0.2986,1.4539e10
0.3004,1.4539e10
0.3023,1.4539e10
0.3042,1.4539e10
0.3061,1.4539e10
0.308,1.4539e10
0.3099,1.4539e10
0.3118,1.4539e10
0.3138,1.4539e10
0.3157,1.4744e10
0.3176,1.4744e10
0.3197,1.4952e10
0.3216,1.4952e10
0.3237,1.4952e10
0.3256,1.4952e10
0.3277,1.4952e10
0.3298,1.4952e10
0.3319,1.4952e10
0.3338,1.4952e10
0.336,1.4952e10
0.3381,1.4952e10
0.3402,1.5163e10
0.3424,1.5163e10
0.3445,1.5163e10
0.3466,1.5163e10
0.3488,1.5163e10
0.351,1.5163e10
0.3532,1.5163e10
0.3554,1.5163e10
0.3576,1.4952e10
0.3598,1.4952e10
0.362,1.4952e10
0.3643,1.4952e10
0.3666,1.4744e10
0.3689,1.4744e10
0.3712,1.4744e10
0.3735,1.4539e10
0.3759,1.4539e10
0.3782,1.4539e10
0.3806,1.4539e10
0.3829,1.4336e10
0.3853,1.4336e10
0.3877,1.4336e10
0.3902,1.4539e10
0.3926,1.4539e10
0.395,1.4539e10
0.3975,1.4539e10
0.4,1.4539e10
0.4025,1.4539e10
0.405,1.4539e10
0.4075,1.4539e10
0.4101,1.4539e10
0.4126,1.4539e10
0.4152,1.4539e10
0.4178,1.4336e10
0.4203,1.4336e10
0.423,1.4137e10
0.4257,1.4137e10
0.4283,1.394e10
0.431,1.394e10
0.4337,1.3746e10
0.4364,1.3746e10
0.4391,1.3746e10
0.4419,1.3555e10
0.4445,1.3555e10
0.4474,1.3555e10
0.4502,1.3366e10
0.453,1.3366e10
0.4558,1.3366e10
0.4586,1.3366e10
0.4615,1.3366e10
0.4644,1.3366e10
0.4673,1.318e10
0.4702,1.2997e10
0.4732,1.2997e10
0.4761,1.2997e10
0.4791,1.2816e10
0.4821,1.2816e10
0.4821,1.2637e10
0.4851,1.2637e10
0.4881,1.2461e10
0.4912,1.2461e10
0.4942,1.2288e10
0.4973,1.2288e10
0.5004,1.2288e10
0.5036,1.2288e10
0.5067,1.2288e10
0.5099,1.2117e10
0.5131,1.2117e10
0.5163,1.2117e10
0.5194,1.2117e10
0.5227,1.1948e10
0.526,1.1948e10
0.5293,1.1948e10
0.5326,1.1948e10
0.5359,1.1948e10
0.5392,1.2117e10
0.5426,1.2117e10
0.546,1.2117e10
0.5493,1.2117e10
0.5528,1.2117e10
0.5563,1.2117e10
0.5598,1.1948e10
0.5633,1.1948e10
0.5668,1.1948e10
0.5703,1.1782e10
0.5739,1.1782e10
0.5775,1.1782e10
0.5811,1.1618e10
0.5847,1.1456e10
0.5883,1.1297e10
0.592,1.1297e10
0.5957,1.1297e10
0.5994,1.1297e10
0.6032,1.1297e10
0.6069,1.1139e10
0.6107,1.1139e10
0.6145,1.0984e10
0.6183,1.0831e10
0.6221,1.0831e10
0.6261,1.0681e10
0.63,1.0681e10
0.634,1.0681e10
0.6379,1.0681e10
0.6419,1.0532e10
0.6419,1.0385e10
0.6459,1.0241e10
0.6499,1.0241e10
0.654,1.0098e10
0.6581,1.0098e10
0.6622,1.0098e10
0.6663,9.9577e9
0.6705,9.9577e9
0.6747,9.9577e9
0.6789,9.8191e9
0.6831,9.8191e9
0.6831,9.6824e9
0.6874,9.6824e9
0.6917,9.5476e9
0.696,9.5476e9
0.7003,9.4147e9
0.7046,9.4147e9
0.7046,9.2836e9
0.709,9.1544e9
0.7135,9.1544e9
0.718,9.1544e9
0.7225,9.1544e9
0.7225,9.027e9
0.7269,8.9013e9
0.7315,8.7774e9
0.7361,8.7774e9
0.7407,8.6552e9
0.7452,8.5347e9
0.75,8.4159e9
0.7547,8.4159e9
0.7547,8.2988e9
0.7593,8.1833e9
0.7641,8.1833e9
0.7689,8.0694e9
0.7689,7.957e9
0.7737,7.957e9
0.7785,7.8463e9
0.7833,7.7371e9
0.7883,7.6294e9
0.7932,7.6294e9
0.7981,7.6294e9
0.8031,7.5231e9
0.8081,7.5231e9
0.8132,7.5231e9
0.8183,7.4184e9
0.8234,7.4184e9
0.8234,7.3152e9
0.8285,7.3152e9
0.8336,7.2133e9
0.8389,7.1129e9
0.8441,7.1129e9
0.8441,7.0139e9
0.8494,7.0139e9
0.8547,6.9163e9
0.8599,6.9163e9
0.8654,6.82e9
0.8708,6.7251e9
0.8761,6.7251e9
0.8817,6.7251e9
0.8817,6.6315e9
0.8872,6.5391e9
0.8928,6.5391e9
0.8982,6.4481e9
0.904,6.3584e9
0.9096,6.2698e9
0.9153,6.1826e9
0.921,6.0965e9
0.9266,6.0116e9
0.9325,5.928e9
0.9383,5.928e9
0.9442,5.8454e9
0.9501,5.8454e9
0.956,5.7641e9
0.956,5.6838e9
0.962,5.6047e9
0.968,5.5267e9
0.9741,5.4498e9
0.9801,5.4498e9
0.9801,5.3739e9
0.9863,5.3739e9
0.9924,5.2991e9
0.9986,5.2991e9
1.0048,5.2991e9
1.0111,5.2253e9
1.0174,5.2253e9
1.0238,5.2253e9
1.0302,5.2253e9
1.0366,5.1526e9
1.0431,5.1526e9
1.0496,5.1526e9
1.0561,5.1526e9
1.0627,5.1526e9
1.0694,5.0809e9
1.0761,5.0102e9
1.0828,5.0102e9
1.0895,4.9404e9
1.0963,4.9404e9
1.1032,4.8716e9
1.1101,4.8716e9
1.117,4.8038e9
1.124,4.8038e9
1.124,4.737e9
1.131,4.737e9
1.1381,4.671e9
1.1452,4.671e9
1.1522,4.606e9
1.1595,4.5419e9
1.1667,4.4787e9
1.174,4.4163e9
1.1814,4.3548e9
1.1887,4.3548e9
1.1962,4.2942e9
1.2036,4.2344e9
1.2111,4.1755e9
1.2187,4.1174e9
1.2263,4.0601e9
1.234,4.0035e9
1.2417,3.9478e9
1.2494,3.8929e9
1.2572,3.8387e9
1.2651,3.7852e9
1.273,3.7325e9
1.2809,3.6806e9
1.2889,3.6294e9
1.297,3.5788e9
1.3051,3.5788e9
1.3051,3.529e9
